"case","date","rlocation","Latitude","Longitude","nod","psol","ssol","ict","psolcolors","nodcolors","dateMonth"
"20210701",2021-07-04,"picnic island",NA,NA,"Disabled","Tow",NA,"1745","tomato","green","2021-07"
"20210702",2021-07-04,"marker 5 bunce's",NA,NA,"Aground","Charlied",NA,NA,"green","sienna","2021-07"
"20210705",2021-07-08,"mkr 1 snell isle",NA,NA,"Disabled","Fuel/Oil Transfer",NA,"1010","black","green","2021-07"
"20210707",2021-07-15,"pasadena yc marker 9",NA,NA,"Disabled","Tow",NA,NA,"tomato","green","2021-07"
"20210709",2021-07-21,"point brittany private channel",NA,NA,"Aground","Freed from Aground","Tow",NA,"sienna","sienna","2021-07"
"20210710",2021-07-24,"1000 yds off fountains apts",NA,NA,"Taking on Water","Charlied",NA,"1534","green","grey","2021-07"
"20210713",2021-07-25,"marker 12 icw",NA,NA,"Disabled","Tow",NA,"1550","tomato","green","2021-07"
"20210801",2021-08-01,"st. pete pier",NA,NA,"Overdue","Charlied",NA,"0524","green","slateblue","2021-08"
"20210802",2021-08-01,"off of townshore apartments",NA,NA,"Fire","Fuel/Oil Transfer",NA,"2036","black","red","2021-08"
"20210804",2021-08-03,"4/500m se of casino pier",NA,NA,"Taking on Water","Charlied",NA,NA,"green","grey","2021-08"
"20210805",2021-08-03,"2000 ft off vinoy",NA,NA,"Unknown Circumstance","Charlied",NA,"1935","green","grey","2021-08"
"20210811",2021-08-15,"mkr 18 of main channel",NA,NA,"Aground","Freed from Aground","Tow","1558","sienna","sienna","2021-08"
"20210816",2021-08-21,"tierra verde bridge",NA,NA,"Disabled","Fuel/Oil Transfer","Escort","1551","black","green","2021-08"
"20210817",2021-08-21,"pg marker",NA,NA,"Disabled","Fuel/Oil Transfer",NA,"1654","black","green","2021-08"
"20210819",2021-08-21,"hillsborough",NA,NA,"Disabled","Charlied",NA,"1915","green","green","2021-08"
"20210821",2021-08-27,"n side of dick misener",NA,NA,"Disabled","Other","Dewatering","0803","deeppink","green","2021-08"
"20210822",2021-08-27,"shell key",NA,NA,"Weather","Escort",NA,"1436","purple","grey","2021-08"
"20210824",2021-08-29,"mrk 7 skyway",NA,NA,"Disabled","Escort",NA,"1630","purple","green","2021-08"
"20210901",2021-09-04,"dock on w side of structure a",NA,NA,"Disabled","Fuel/Oil Transfer","Tow","0507","black","green","2021-09"
"20210903",2021-09-04,"n of indian key",NA,NA,"Overdue","Escort",NA,"1617","purple","slateblue","2021-09"
"20210904",2021-09-05,"mkr 16 sunshine skyway channel",NA,NA,"Disabled","Fuel/Oil Transfer",NA,"1300","black","green","2021-09"
"20210906",2021-09-06,"shell key",NA,NA,"Capsized","Charlied",NA,"2105","green","cyan","2021-09"
"20210907",2021-09-07,"6 miles sw of anna maria",NA,NA,"Disabled","Information/Advice",NA,"1707","slateblue","green","2021-09"
"20210909",2021-09-11,"mermaid point",NA,NA,"Disabled","Fuel/Oil Transfer","Tow","1720","black","green","2021-09"
"20210913",2021-09-14,"east of egmont near cg dock",NA,NA,"Disabled","Tow",NA,"1411","tomato","green","2021-09"
"20210914",2021-09-14,"south",NA,NA,"PIW","Charlied",NA,"1501","green","midnightblue","2021-09"
"20210921",2021-09-22,"outside main shipping channel",NA,NA,"Disabled","Tow",NA,"1536","tomato","green","2021-09"
"20210922",2021-09-24,"mouth of frenchman's creek",NA,NA,"Disabled","Tow",NA,"1537","tomato","green","2021-09"
"20210923",2021-09-24,"fort desoto north beach",NA,NA,"Disabled","Charlied",NA,"2105","green","green","2021-09"
"20210925",2021-09-25,"cockoach bay",NA,NA,"Disabled","Tow",NA,"1213","tomato","green","2021-09"
"20211006",2021-10-03,"shell key",NA,NA,"Disabled","Tow",NA,"0946","tomato","green","2021-10"
"20211008",2021-10-03,"w of o'neill's entrance channel",NA,NA,"Disabled","Tow",NA,"1558","tomato","green","2021-10"
"20211009",2021-10-05,"2.5 miles south of skyway pier",NA,NA,"Capsized","Charlied",NA,"1308","green","cyan","2021-10"
"20211013",2021-10-10,"pag sea critter dock",NA,NA,"Disabled","Tow",NA,"1436","tomato","green","2021-10"
"20211015",2021-10-12,"west-side of passage key",NA,NA,"Disabled","Charlied",NA,"1730","green","green","2021-10"
"20211018",2021-10-16,"ft. desoto beach 1mn m gulf pier",NA,NA,"Disabled","Tow",NA,"1127","tomato","green","2021-10"
"20211019",2021-10-16,"1 mile s of courtney campbell",NA,NA,"Disabled","Tow",NA,"1546","tomato","green","2021-10"
"20211020",2021-10-16,"south side of mullet key",NA,NA,"Capsized","Parbuckling","Tow","1621","goldenrod","cyan","2021-10"
"20211021",2021-10-17,"east side of ft desoto",NA,NA,"Taking on Water","Charlied",NA,"0927","green","grey","2021-10"
"20211023",2021-10-17,"shell key",NA,NA,"PIW","Charlied",NA,"1402","green","midnightblue","2021-10"
"20211024",2021-10-17,"shell key",NA,NA,"Disabled","Charlied",NA,"1733","green","green","2021-10"
"20211026",2021-10-19,"gulf side of skyway",NA,NA,"PIW","Charlied",NA,"1727","green","midnightblue","2021-10"
"20211028",2021-10-23,"pass-a-grille",NA,NA,"PIW","Charlied",NA,"1844","green","midnightblue","2021-10"
"20211035",2021-10-30,"2 nm w of bellwether resort",NA,NA,"No Distress (Good Intent / Hoax)","Charlied",NA,"2142","green","violet","2021-10"
"20211102",2021-11-03,"tierra verde high and dry",NA,NA,"Disabled","Fuel/Oil Transfer",NA,"1515","black","green","2021-11"
"20211105",2021-11-06,"pass-a-grille channel",NA,NA,"Disabled","Jump Start","Escort","1827","yellow","green","2021-11"
"20211109",2021-11-08,"northwest side of egmont",NA,NA,"Aground","Freed from Aground",NA,"1834","sienna","sienna","2021-11"
"20211119",2021-11-16,"north of tv",NA,NA,"Disabled","Fuel/Oil Transfer",NA,"1331","black","green","2021-11"
"20211120",2021-11-17,"6 miles off pag",NA,NA,"Capsized","Charlied",NA,"1328","green","cyan","2021-11"
"20211122",2021-11-20,"mouth of frenchmans creek",NA,NA,"Disabled","Tow",NA,"1425","tomato","green","2021-11"
